#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Nov 04 14:55:31 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       InstructionMemory_map.ncd
#OUTPUT FILE:      InstructionMemory_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P74,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
P75,,,GND,,,,,,,,,,,,
P76,clk,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
P77,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,
P78,,IOB,IO/VREF_5,UNUSED,,5,,,,,,,,,
P79,,DIFFM,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,,,
P80,,DIFFS,IO_L32N_4/GCLK1,UNUSED,,4,,,,,,,,,
P81,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P82,,,GND,,,,,,,,,,,,
P83,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
P84,,,VCCO_4,,,4,,,,,any******,,,,
P85,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P86,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
P87,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,
P88,,,VCCINT,,,,,,,,1.2,,,,
P89,,,VCCAUX,,,,,,,,2.5,,,,
P90,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,
P91,,,GND,,,,,,,,,,,,
P92,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
P93,,IOB,IO,UNUSED,,4,,,,,,,,,
P94,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,
P95,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,
P96,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P97,,DIFFS,IO,UNUSED,,4,,,,,,,,,
P98,,,VCCO_4,,,4,,,,,any******,,,,
P99,,,GND,,,,,,,,,,,,
P100,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
P101,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
P102,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P103,,,DONE,,,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,
P107,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
P108,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,,,
P109,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,
P110,,,VCCO_3,,,3,,,,,2.50,,,,
P111,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,
P112,,,GND,,,,,,,,,,,,
P113,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,
P114,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
P115,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
P116,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P117,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,
P118,,,GND,,,,,,,,,,,,
P119,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,
P120,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
P121,,,VCCAUX,,,,,,,,2.5,,,,
P122,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,
P123,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
P124,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
P125,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
P126,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,
P127,,,VCCO_3,,,3,,,,,2.50,,,,
P128,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,,,,
P129,,,GND,,,,,,,,,,,,
P130,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
P131,data_out<6>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P132,data_out<7>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P133,data_out<4>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P134,,,GND,,,,,,,,,,,,
P135,data_out<5>,IOB,IO_L39P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P136,,,VCCO_2,,,2,,,,,2.50,,,,
P137,data_out<2>,IOB,IO_L39N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P138,data_out<3>,IOB,IO_L24P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P139,data_out<0>,IOB,IO_L24N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P140,data_out<1>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P141,data_out<14>,IOB,IO_L23N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P142,,,VCCAUX,,,,,,,,2.5,,,,
P143,data_out<15>,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P144,data_out<12>,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P145,,,GND,,,,,,,,,,,,
P146,data_out<13>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P147,data_out<10>,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P148,data_out<11>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P149,data_out<8>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P150,data_out<9>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P151,,,GND,,,,,,,,,,,,
P152,data_out<30>,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P153,,,VCCO_2,,,2,,,,,2.50,,,,
P154,data_out<31>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P155,data_out<28>,IOB,IO_L01P_2/VRN_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P156,data_out<29>,IOB,IO_L01N_2/VRP_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P157,,,GND,,,,,,,,,,,,
P158,,,TDO,,,,,,,,,,,,
P159,,,TCK,,,,,,,,,,,,
P160,,,TMS,,,,,,,,,,,,
P161,data_out<26>,IOB,IO_L01P_1/VRN_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P162,data_out<27>,IOB,IO_L01N_1/VRP_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P163,,,GND,,,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,2.50,,,,
P165,data_out<24>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P166,data_out<25>,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P167,data_out<22>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P168,data_out<21>,IOB,IO_L27P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P169,data_out<20>,IOB,IO_L27N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P170,,,GND,,,,,,,,,,,,
P171,data_out<23>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P172,data_out<18>,IOB,IO_L28N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P173,,,VCCAUX,,,,,,,,2.5,,,,
P174,,,VCCINT,,,,,,,,1.2,,,,
P175,data_out<19>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P176,data_out<17>,IOB,IO_L31P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P177,,,VCCO_1,,,1,,,,,2.50,,,,
P178,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
P179,,,GND,,,,,,,,,,,,
P180,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
P181,data_out<16>,IOB,IO_L32N_1/GCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P182,,IOB,IO,UNUSED,,1,,,,,,,,,
P183,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,
P184,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
P185,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,
P186,,,GND,,,,,,,,,,,,
P187,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
P188,,,VCCO_0,,,0,,,,,any******,,,,
P189,,IOB,IO,UNUSED,,0,,,,,,,,,
P190,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
P191,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
P192,,,VCCINT,,,,,,,,1.2,,,,
P193,,,VCCAUX,,,,,,,,2.5,,,,
P194,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
P195,,,GND,,,,,,,,,,,,
P196,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
P197,,IOB,IO,UNUSED,,0,,,,,,,,,
P198,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
P199,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,
P200,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P201,,,VCCO_0,,,0,,,,,any******,,,,
P202,,,GND,,,,,,,,,,,,
P203,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
P204,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,,,
P208,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
